WO Description,WO rem long desc,Cause object
energy manager cfm press vibrating,replaced dia,Tube
23229-d : kpot-29207394;(+)loading,"ls12 was loose . tightened back up, and cycled press multiple times, looked good . handed back over to operator.",Limit Switch / Sensor
23229-d : kpot-52649114;(-)platen temp,v2 solenoid was failing . ran through a 35 minute reheat without issue . messed up when reloaded the press . replaced solenoid and it's been running fine ever since.,Solenoid / Coil
not reheating,"lid never locked . moldback drain clogged . full pressure and only 57 degrees . opened up and a bunch of condensate out . removed the orifice, no clog, so ran the valve a few times to make sure it was cycling alright . it did so put the orifice back in and tightened everything up and it read right and the lid locked . worker'm guessing the clog was bigger than the orifice and fell out or was blown out when worker took the orifice out.",Orifice
23229-d : kpot-84554991;(-)membrane psi,membrane completely detatched from the top plate all the way around . handed off to the operator,Membrane
23229-d : kpot-61890613;(+)loading,jib height off by -30mm,Process/CQ-Related
23229-d : kpot-55644038;(-)membrane psi,airline to v9 broke off . replaced the affected air line.,Diaphragm
23229-d : kpot-71610133;(-)moldback temp,output card for the moldback drain went out . moldback drain output light would come on but it wouldn't actually close and power the solenoid.,Input / Output Card
23229-d : kpot-71610207;(-)membrane psi,d1ter valve failed . stud broke and caused blowout . replaced valve.,Shut Off Valve
jib not raising,prox 23 was stuck on . replaced it.,Limit Switch / Sensor
fluid leak,locking ring open pipr blew out upstairs . worker welded pipe and put back on.,Hydraulic Cylinder / Jack
hydrolic blowout in back of press,locking ring open pipe got twisted up and off the fitting beneath the floor . called ar to see about getting welders in and was told to try and make a hose kit work til monday . so worker put a hose kit on.,Pipe / Rigid Tubing
l-12 membrane not raising,replaced d18 diaphragm,Diaphragm
wont stay in precon,replaced d20 and d20bis,Gate Valve / Faucet
hydro leak,locking ring cylinder,Clevis
w-07 not picking tire up out of press,adj'ed ls16,Solenoid / Coil
m/b didnt reach precon,went to precon several times for when worker went out there . jib wasnt swinging in because ls7 was loose and the hook was on the orange hose.,Limit Switch / Sensor
no sr - lid didn't lower for reheat,right lid hook pin broke . replaced pin.,Pin / Clip
23230-d : kpot-29316929;(+)loading,"couldnt find a reason why locking ring would not close . cycled press multiple times, cycled locking ring dozens of times, watched valves downstairs, locking ring operated correctly every time",Cylinder / Roll
23230-d : kpot-03151186;(+)loading,jib finger dcv leaking . replaced,Process/CQ-Related
23230-d : kpot-03151239;(+)loading,"jib stop was loose and was 25mm low . moved to position and tightened down . oddly nough, worker had to loosen it while raising at a certain point, then tightened it down.",Shaft
23230-d : kpot-49913514;(+)membrane temp,"looked like tranducers were miss-reading . cleaned out transducers, and ran multiple bypasses . bypasses looked good put back on reheat",Pressure Gauge / Gauge
23230-d : kpot-61896937;(+)extraction,cleaned contact at ps4.,Pressure switch
23231-n : kpot-61894060;(+)extraction,replaced ps4 and cleaned cap,Pressure switch
hydro leak in front left,"the front l/r open fitting . worker couldnt find a new fitting, so worker contained leak and put in e type w/o",Solenoid / Coil
23231-n : kpot-61894101;(+)extraction,replaced d7 solenoid,Solenoid / Coil
23231-n : kpot-84555856;(+)extraction,membrane stuck to lid . unrelated but found ls6 contact block broken . replaced contact block.,Limit Switch / Sensor
leak dect,replaced left orange hose,Washer
u04 no hyd,"boiler house called at saying there was a blowout on u4 . worker ran down there, killed the hydraulics, and had been working on the leak for probably 20 minutes before the operator realized it was down . chariot was stuck behind the press until worker realized it had the line down and manually moved the cover back down onto the chariot and then recalled it . operator never mentioned it . worker ended up replacing the d15 tab orifice with a regular orifice and 2 gasket combo after all other efforts to replace the gasket didn't work.",Orifice
w1 no open after rh,"ps1 was on with full pressure in pan . worker drained it, opened it so could change the plaquette . had to go to another call while worker waited . turned out to be giraf went down and was stuck in the grinding room for over an hour . somehow the press drained after the next reheat and loaded a tire then didn't drain and kpotted while were stuck in the grinding room.",Pressure switch
23231-d : kpot-84556424;(+)dsp duration,ps1 failed . bad weld on pressure switch failed.,Pressure switch
23231-d : kpot-84556630;(-)membrane psi,top of the membrane blew out/no longer connected to the top membrane plate . operator replaced it,Membrane
23231-d : kpot-29318733;(+)extraction,"press was open when worker got there . cycled without issue . cycled in step by step and put in the step it kpotted in and went downstairs . found a diaphragm leaking (top right, d1?) and replaced.",Diaphragm
fault says centering pin not retracted,cycled air to centering cylinder,Tube
wont load/ mb dropping below precon,press needed reheat,Solenoid / Coil
pc raised when unloading and loading,fitting for d19 bis loose . replaced gasket and tightened fitting back onto valve,Fitting
23232-n : kpot-87947388;(+)consecutive l1s,replaced moldback rtd,Temperature Sensor
23232-n : kpot-87948535;(+)extraction,ps7 and serpentine clogged . replaced ps7,Pressure switch
23232-n : kpot-58076836;(+)removed from auto,operator said door was not latched . opened and latched door multiple times and ran press through a cycle without fluids . could not repeat issue . loaded up press,Push Button
23232-n : kpot-88699035;(+)extraction,replaced sol7,Anti-Rotation Device
lid fault,reset safety plc,POST / STUD
23232-n : kpot-84556314;(+)extraction,top membrane plate stuck to lid . freed it by putting press on reheat . handed press over to operator,Membrane
jib looks broken,broken jib knuckle bolt . removed end of bolt stuck in jib and replaced with new hardware . put press on reheat,Screw
23232-n : kpot-81650970;(+)extraction,replaced contact block and limit switch head on ls28,Limit Switch / Sensor
c-04 lid leak,was an old leak that someone didn't clean up after fixing,Screw
"d-3 buzzer keeps going off , the jib is not grabbing the tire after its cooked",lowered pickup height,Screw
24014-n : kpot-88807827;(+)extraction,replaced ps7 and cleaned clogged serpentine,Pressure switch
38.1,mold shop completed,Terminal block
24014-n : kpot-84550458;(-)membrane psi,blown membrane,Membrane
24014-d : kpot-16611730;(+)extraction,ls19 flag loose . tightened flag,Guide plate
24014-d : kpot-29384143;(+)removed from auto,operator said lid lowered about halfway down and then stopped . operator put press in manual and then back into auto and lid lowered rest of the way . worker ran press through 2 open and close cycles . could not duplicate issue . called cover to press,Safety Relay
parent 24014-d : kpot-64638663;(+)membrane temp,lost pressure from boiler house,Steam
24014-d : kpot-51068716;(-)moldback temp,boiler house lost boiler,Pressure Gauge / Gauge
24014-d : kpot-29383295;(-)membrane psi,boiler house lost boiler,Pressure Gauge / Gauge
24014-d : kpot-44322392;(-)membrane temp,boiler house lost boiler,Pressure Gauge / Gauge
24014-d : kpot-29383292;(-)membrane psi,boiler house lost boiler,Pressure Gauge / Gauge
24014-d : kpot-88808297;(-)membrane psi,lost pressure from boiler house,Pressure Gauge / Gauge
24014-d : kpot-71782622;(-)membrane psi,lost pressure from boiler house,Pressure Gauge / Gauge
24014-d : kpot-88808285;(-)membrane psi,lost pressure from boiler house,Pressure Gauge / Gauge
24014-d : kpot-58171410;(-)membrane psi,lost pressure from boiler house,Pressure Gauge / Gauge
24014-d : kpot-71782667;(-)membrane temp,lost pressure from boiler house,Pressure Gauge / Gauge
24014-d : kpot-29384173;(-)membrane psi,lost pressure from boiler house,Pressure Gauge / Gauge
24014-d : kpot-71782674;(-)membrane psi,lost pressure from boiler house,Pressure Gauge / Gauge
24014-d : kpot-52788004;(+)membrane temp,v22 orifice clogged . orifice gasket deteriorating and caused orifice to clog . replaced orifice gasket,Orifice
24014-d : kpot-55682702;(-)membrane psi,bad load . membrane blew . operator replaced membrane,Membrane
24014-d : kpot-52788184;(+)extraction,replaced ps7 and blew serpentine out,Pressure switch
lid leak,duplicate work order . refer to grs4109909,Gasket / Seal / Packing
24014-d : kpot-40307703;(+)extraction,replaced ps7 and blew serpentine out,Pressure switch
24014-d : kpot-84550682;(-)membrane temp,v22 orifice clogged,Orifice
membrane wont drain after curing a tire,clogged transducers . cleaned,Sensor
j02 jibfigures not working,the zero wire for the jib fingers open sol cap had no connection to the zero wire . the piece tying the 3 terminals together was loose on the terminal block for the jib fingers closed terminal . worker tightened that down and got continuity . after that it started working fine . worker restarted the press,Terminal block
24015-n : kpot-36058003;(+)dsp duration,replaced v21s actuator,Directional Valve
24015-n : kpot-29383892;(-)membrane psi,operator changed the membrane and forgot to put an oring in . not sure how didn't think something was off when stretched the membrane . worker had everything there already so worker just put a oring in and put the press on reheat,O-Ring
24015-n : kpot-80536538;(-)dsp duration,adjusted ls2,Proximity Sensor / Switch
24015-n : kpot-52788576;(+)loading,"ls10 was stuck, lid wasnt coming down.",Limit Switch / Sensor
24015-n : kpot-05972096;(-)membrane psi,hole in the membrane.,Membrane
24015-n : kpot-87070809;(+)consecutive l1s,"whelp, it was going to be just a consecutive l1 kpot for a hole in the membrane, but jay decided to flip it into manual for no reason in the first part of phase 2 so it's a full kpot and the tire stuck to the lid.",Membrane
24015-d : kpot-84544105;(+)loading,quality running checks,Terminal block
24015-d : kpot-84544104;(-)thermal state,quality running checks,Terminal block
24015-d : kpot-46133393;(+)loading,quality running checks,Terminal block
24015-d : kpot-84544100;(+)loading,quality running checks,Terminal block
press has a leak detection,changed shaft seal,Gasket / Seal / Packing
24015-d : kpot-84544099;(-)thermal state,quality running checks,Terminal block
jib finger broke,replaced broken/missing bolt . checked press thoroughly for old bolt.,Screw
airline to glass tubes broke off(piped wrong),replaced airline and routed thru cat track,Terminal block
jib finger broke,replaced broke jib finger screw,Screw
k-pot for hydraulics off,hydraulics off due to ps4 . cleaned ps4 . noticed d7 dia was leaking bad so replaced that also,Terminal block
24016-n : kpot-64639637;(-)platen temp,trash in platen line had to blow out multiple times,Orifice
rtd temp difference,reseated rtd cards,Terminal fitting
24016-n : kpot-84544315;(+)loading,"one of the sectors didnt close all the way, preventing the lid from making ls12 . turned over to mold shop",Proximity Sensor / Switch
24015-d : kpot-64853878;(+)consecutive l1s,tightened rtd terminals,Terminal block
24016-d : kpot-52790355;(+)extraction,replaced ps7,Pressure switch
cbo lift speed is way too fast,d19 bis leaking by,Flow Control Valve
24016-d : kpot-18421433;(+)removed from auto,lid hook slow to open,Grease
24016-d : kpot-54331344;(-)membrane psi,v9 air line broken,Screw
24016-d : kpot-80546226;(-)moldback temp,replaced moldback purge output card.,PLC / PLC Cards
24017-n : kpot-84544729;(-)pan temp,hole in membrane,Membrane
24017-n : kpot-88810839;(-)membrane temp,replaced memb rtd and ran 3 bypasses,Leather Brake strap
24017-n : kpot-52789281;(+)extraction,operator refired press,Terminal block
24017-n : kpot-46134169;(+)loading,adjusted jib height to consigne,Washer
24017-n : kpot-84549060;(-)pan temp,hole in membrane,Membrane
24017-n : kpot-05967384;(-)membrane psi,blown membrane,Terminal block
24017-n : kpot-52789335;(+)removed from auto,left partie centrale hose blown out,Wire
24017-n : kpot-52789352;(-)membrane psi,blown membrane,Terminal block
24017-d : kpot-84549161;(+)loading,quality running test cure law.,Big Bag
lid leak,lid raise hose fitting a little loose . tightened hose 1/4 turn . cleaned lid to see if leak persists,Fitting
24017-d : kpot-36057009;(-)membrane psi,replaced v23 gasket.,Gasket / Seal / Packing
24017-d : kpot-58170983;(-)membrane temp,had operator change membrane,Membrane
24017-d : kpot-08275331;(+)extraction,replaced ps7,Pressure switch
24017-d : kpot-51064239;(-)membrane temp,"replaced.air fittings with new copper extension on vinj, v9",Fitting
24017-d : kpot-29385893;(+)removed from auto,left lid hook did not open . removed orifice from air fitting,Fitting
24018-n : kpot-80546916;(-)membrane psi,changed v22 and tightened fittings coming from bottle,Fitting
24018-n : kpot-27540677;(-)moldback temp,replaced solenoid for air leak and moldback purge valve not picking up,Relief Valve
24018-n : kpot-64648005;(+)extraction,"not called in, operator restarted press",Toggle switch
24018-n : kpot-71883318;(+)removed from auto,operator rearmed,Terminal block
24018-n : kpot-87072159;(+)loading,"membrane precon high, fingers didnt open",Membrane
24018-n : kpot-71883533;(+)moldback temp,changed output card 11 moldback input,Input / Output Card
24018-n : kpot-55684665;(+)platen temp,replaced output card 11 for being stuck on,Clevis
24018-n : kpot-29387101;(+)extraction,"cycled press half dozen times, verified valve functionality on tableau, could not duplicate issue.",Grease
24018-d : kpot-84544059;(-)membrane psi,had operator replace membrane,Membrane
24018-d : kpot-29387389;(+)extraction,changed the shuttle valve,Directional Valve
24018-d : kpot-51063029;(+)removed from auto,pin out of lid hook,Pin / Clip
24018-d : kpot-71880959;(-)moldback temp,crack in airline going to moldback purge valve . replaced airline,Flexible Tubing / Hose
24018-d : kpot-29387748;(+)extraction,replaced locking ring dcv and d6 sol,Directional Valve
24018-d : kpot-51063206;(+)extraction,operator says the tire was stuck to the mold,Mold
much temp. difference in memb.,re-seated rtd card,Thermostat
24018-d : kpot-84548062;(+)loading,ls10 arm was loose,Terminal block
24018-d : kpot-80544338;(-)membrane temp,refer to grs4115846,Input / Output Card
24018-d : kpot-84549921;(-)pan temp,had operator replace membrane,Membrane
24018-d : kpot-71883355;(+)extraction,replaced ps7 and blew serpentine out,Pressure switch
24018-d : kpot-84549941;(-)pan temp,told operator to change membrane,Membrane
press body cover came off,front locking ring shroud was hanging off . re-installed with cotter pins and washers.,Washer
24019-n : kpot-18419058;(+)extraction,one side of transducer t and the pipe coming out of the hose clogged . cleaned out and restarted press,Pressure switch
24019-n : kpot-68578962;(+)loading,membrane blew up,Membrane
jib not picking cover up from chariot,couldn't replicate.,POST / STUD
lid/cbo speeds need nano speeds- cbo was 40.4/ lid was 110.5,"checked speeds . cbo good, changed gaskets out for lid orifice and it fixed speed issue",Gasket / Seal / Packing
24019-d : kpot-88812726;(+)extraction,"checked locking ring operation, air leaks, etc . ran several cycles . could not find any issues/duplicate.",Terminal block
24019-d : kpot-84548379;(-)pan temp,had operator change out membrane,Membrane
24019-d : kpot-08280349;(-)moldback temp,trash in the moldback orifice,Orifice
v-02 leak detect,changed the membrane shaft seal,Gasket / Seal / Packing
24019-d : kpot-18419298;(-)moldback temp,moldback purge solenoid loose from base causing airleak . tightened down solenoid and put press on reheat,Solenoid / Coil
not loading,ls21 head sticking . replaced ls21 head,Limit Switch / Sensor
locking ring not unlocking,replaced d7 . spring on d7 was broke,Gate Valve / Faucet
75.1,did not find anything obvious causing flashing issue . heights were all to consigne and lid/pan aligned well,POST / STUD
24019-d : kpot-76848624;(+)loading,ls6 head failed,Limit Switch / Sensor
24019-d : kpot-29354766;(+)extraction,replaced d7 sol/orings and airline going to d6,Terminal block
l-10 membrane not at precon,operator had press lowered and locked to prevent losing heat . opened press and cleaned psc1 . loaded press,Process/CQ-Related
lid leak,lid raise 42mm nut leaking . tightened fitting,Fitting
24019-d : kpot-68580635;(+)removed from auto,jib dropping cover as it swings in . swinging in and out very fast . slowed both directions down and let the operator clean the press out,POST / STUD
24020-n : kpot-27539783;(+)extraction,transducer hose was clogged up pretty good . replaced it.,Electric Plug
24020-n : kpot-29355039;(+)extraction,"it had opened up by the time got there so put in cycle no fluid in step 354 (kpot step) and were able to reproduce a similar condition . wend down stairs and found no air going to d7 . ps7 was showing as made, but it wasn't allowing air to come out the press side . tapping it got the locking ring to open . replaced ps7 and cycled several more times and didn't have any more issues . hoping this gets it.",Pressure switch
24020-n : kpot-51062074;(+)consecutive l1s,replaced moldback rtd,Temperature Sensor
not loading,loaded fine,POST / STUD
chariot fault p line,duplicate wo grs4117235,POST / STUD
24020-n : kpot-27538008;(+)loading,"jib fingers getting stuck between membrane and cover while loading . jib flap cylinder was bypassing, replaced . adjusted membrane height as well",Fitting
dropping covers,adjusted fitment,Finger
24020-n : kpot-58146083;(-)membrane psi,"v9 diaphragm leaking . tried replacing diaphragm, but bolts were too seized . replaced v9 and put press on reheat",Directional Valve
jib fingers need adjustment keep dropping cover on chariot,wo left over from previous crew,Process/CQ-Related
hydro leak (in chariot isle),plug on the rear locking ring cylinder had come loose,Fitting
leak dect.,replaced membrane shaft seal and replaced diffuser bolts,Gasket / Seal / Packing
24020-d : kpot-27538233;(+)removed from auto,refer to grs4117318,Steam
24020-d : kpot-55686396;(-)membrane psi,slow fill . had operator restart press,Pressure switch
m/b wont inflate,adjusted ls20 flag,Process/CQ-Related
keep dropping covers on chariot,"it's hard for the jib to pick up a cover that the chariot has already dropped before the uncured arms get up to the jib . 46's coming into the hol at an angle, with the top inch or so of the bead not sprayed/barely sprayed . sometimes it gets put on the chariot at an angle not on the trigger arm so the uncured arms either close as soon as it starts to raise or shakes off it as it starts to raise . worker tried adjusting the down at the chariot flag to place to cover a little higher, and also increased the pressure a little to hopefully grab the cover better.",Washer
press lid wont open,d7 stuck . got it working again.,Flow Control Valve
24021-n : kpot-27538601;(+)extraction,lost ps4 . twisted sol cap and tightened screw,Pressure switch
membrane wont deflate,"membrane wont deflate, transducers on reading -.25 bar, preventing press from unloading tire . cleaned transducers multiple times, replaced transducers, changed out membrane hose . problem still persisted",Membrane
dropping covers,"had problem with c11 yesterday, both presses are the only 64s on that line . changed the bead stretch time to match the 64s on d-line.",Finger
23288-n : kpot-60995313;(-)platen temp,replaced output card,Input / Output Card
lid pipe leaking,removed repaired and replaced pipe,Pipe reducer
v23s valve leaking and damaging insulation.,replaced v23s,Steam
d15 and jib raise pipe leaking,replaced d15 and repaired jib raise pipe,Pipe / Rigid Tubing
leak behind press,replaced gaskets,Orifice
jib having issues rotating in to press,opened flow control,Screw
cycle time correction quality,replaced orfices,Orifice
uniformity issues- cbo/lid speed out of nano- see details,changed orifice and replaced d-19 bis,Process/CQ-Related
m/b wont go to precon,replaced broken encoder cable.,Wire
23288-d : kpot-71709227;(+)dsp duration,replaced ps7 and blew out the serpentine,Pressure switch
23289-n : kpot-72647005;(+)membrane temp,v22 orifice clogged . cleared orifice and restarted press,Orifice
23289-n : kpot-05873057;(+)extraction,air leak on jib head fixed broken barb,Fitting
23289-n : kpot-13178648;(+)loading,ls10 arm stuck . fixed ls10 arm and adjusted limit switch . had operator restart press,Limit Switch / Sensor
23289-n : kpot-15572920;(+)extraction,operator refired,POST / STUD
hose leaking hydro,replaced lid lower pipe with hose kit,Pipe / Rigid Tubing
23289-n : kpot-51900597;(+)removed from auto,lid hook linkage pin clip catching not letting lid hook open . moved pin clip and ran press through a few cycles . could not replicate issue . put press on reheat,Pin / Clip
23289-n : kpot-51900644;(-)membrane psi,hole in top of membrane . had operator replace membrane,Membrane
23289-n : kpot-51900677;(+)removed from auto,operator started back up without notifying crew during shift change,Membrane
23289-d : kpot-05873324;(+)loading,adjusted ls6,Proximity Sensor / Switch
23289-d : kpot-87058202;(+)extraction,adjusted ls24,Limit Switch / Sensor
jib lowering and knocking around on jguide rail.,eccentric shaft was loose and alignment was way off . adjusted and tightened down shaft.,Eccentric
reheat problem lid loading slow,ls1 and ls2 brackets both bent down after membrane change . believe operator hit switches with membrane cart,POST / STUD
23289-d : kpot-51900949;(+)extraction,clogged transducer line,Membrane
23289-d : kpot-11000306;(+)loading,d6 air line kinked after,Screw
23290-n : kpot-44382005;(+)extraction,operator refired,POST / STUD
operator states: membrane won't deflate,"reality: membrane drained down any time weren't actively inflating the membrane . nightshift replaced precon valve and the nut, while it felt tight, wasn't sealing very well . worker took 2 18"" adjustables to it and got it real tight . membrane was still draining down some just withou the cloud of so put a bypass in at 578 and found the inlet side of the right v21 dripping condensate so worker tightened that and ran 2 full bypasses . 3 bump bypass got about 3 bumps both times so worker put the membrane back in and returned the membrane back to service . yes, worker put the l in long description.",Fitting
46.1 check list,did check list,Finger
46.1 check list,done . nothing of note found . would have been nice to get a heads up that had a press shut down for a checklist before accidentally found the work order.,Washer
23290-d : kpot-71710019;(+)extraction,"lid hook stuck open . closed it, and dry cycled several times then restarted",Fitting
repair vacuum line,repaired valve,Shut Off Valve
replaced v inj,replaced valve,Flow Control Valve
23290-d : kpot-15573173;(-)membrane psi,membrane o-ring failed.,O-Ring
23290-d : kpot-58087056;(+)extraction,ps7 failure . replaced & cleared the serpentine,Pressure switch
not reheating,it was counting down when worker got to the press.,Process/CQ-Related
locking ring not closing,compressed air to the pneumatic cabinet was cut off.,Push Button
23290-d : kpot-15573256;(+)extraction,clogged ps7 serpentine,Pressure switch
23291-n : kpot-51978198;(-)membrane temp,replaced injector,Injector
23291-n : kpot-29273246;(-)platen temp,air line feeding the glass tubes popped off,Flexible Tubing / Hose
23291-n : kpot-88714553;(+)extraction,jib finger dcv failed,Compressed Air
hydro leak,replaced lid lower hose,Flexible Tubing / Hose
23291-n : kpot-58087855;(-)membrane psi,membrane failed,Membrane
23291-n : kpot-71708222;(+)extraction,"right lid hook was stuck in the open position . replaced pin thinking it was bent, but it wasn't . replaced lid hook cylinder.",Hydraulic Cylinder / Jack
plc timeout communitcation,tightened terminals on processor and monitor . re-seated processor . then it did it again so worker replaced the processor.,Terminal block
23291-d : kpot-29274025;(+)loading,replaced worn out lid hook air cyl (right ls6 side),Cylinder / Roll
23291-d : kpot-58095358;(-)membrane psi,found oring in 3 pieces . running a few bypasses to make sure but will likely get the membrane changed since it's cut at least 2 orings in 16 cures . cooked 3 good tires in between this kpot and the last one,O-Ring
23291-d : kpot-10643270;(+)extraction,ps7 wasnt allowing air to pass through despite being made . replaced ps7,Pressure switch
lid pipe leaking,repaired pip,Pipe / Rigid Tubing
no press lights,one of the lightbulbs shorted and blew a fuse . replaced fuse,Terminal End
23291-d : kpot-58095573;(+)removed from auto,cycled press and couldn't find anything since operator removed press from auto,Lid
23292-n : kpot-51977075;(+)extraction,ps7 failed,Pressure switch
hydro leak,replaced lid raise hose,Flexible Tubing / Hose
23292-n : kpot-52709959;(+)loading,lever on ls10 was loose,Limit Switch / Sensor
23292-n : kpot-88714740;(-)platen temp,trash in the orifice,Orifice
23292-n : kpot-88714752;(-)platen temp,card 12 faulted for output 13,PLC / PLC Cards
checklist for uniformity needed,operator hadn't completed the initial step requiring a follow up with quality after a membrane change and running 2 tires no follow up from the operator - press is running,POST / STUD
23292-n : kpot-58095752;(+)consecutive l1s,closed cross over pipe,Washer
23292-n : kpot-58095781;(-)membrane temp,cleaned out v22 orifice,Orifice
23292-n : kpot-52710123;(+)membrane temp,v22 orifice clogged,Orifice
23292-d : kpot-23870053;(+)extraction,testing automated workorder system,Screw
23292-d : kpot-64756552;(-)membrane temp,"replaced cracked air line on v29 and replaced v29 sol because it was a . v22 had a kink in the air line - fixed also replaced solenoids and orings for v9, v19, and vinj",Solenoid / Coil
23292-d : kpot-10641707;(-)membrane psi,replaced vinj sol.,Solenoid / Coil
23292-d : kpot-70952925;(+)loading,adjusted ls20,Limit Switch / Sensor
23292-d : kpot-10643928;(-)membrane psi,fixed broken air line on vinj,Directional Valve
23293-n : kpot-11038111;(+)loading,"ls10 switch, missing one screw and 3 screws loose . tightened screws and replaced screw . no limit switches in jn",Screw
23293-n : kpot-51977905;(-)platen temp,replaced platen drain air line,Tube
23293-n : kpot-70958261;(+)removed from auto,jib height screw loose . jib precon height off by 10mm . adjusted jib height and tightened bolts,Process/CQ-Related
23293-d : kpot-55675208;(+)removed from auto,jib flap cylinder not retracting all the way - lubed assembly . cylinder not blowing by,Screw
23293-d : kpot-87817052;(+)removed from auto,lid hook pin broken,Pin / Clip
23293-d : kpot-29276843;(+)extraction,replaced ps7,Pressure switch
23293-d : kpot-80475543;(+)extraction,no call - operator restarted,POST / STUD
23293-d : kpot-79515157;(+)removed from auto,broken lid hook pin.,Pin / Clip
23293-d : kpot-51976477;(+)membrane temp,previous crew got press fixed . transducers were clogged,Steam
23294-n : kpot-55675529;(+)consecutive l1s,membrane not installed properly,Membrane
23294-n : kpot-51976704;(-)membrane psi,had operator replace membrane,Membrane
hydraulic leak,fitting loose on rear locking ring . tightened fitting,Fitting
46.1 - checklist started,did checklist . found a couple things wrong . see checklist.,Process/CQ-Related
46.1 - checklist started,started checklist . see checklist for details,Process/CQ-Related
23294-d : kpot-70956289;(-)moldback temp,replaced moldback/platen rtd card because both were flaking . recalibrated and had to redownload,PLC / PLC Cards
23294-d : kpot-71832586;(+)loading,ls10 didn't make . adjusted ls10,Limit Switch / Sensor
23294-d : kpot-51975431;(-)membrane temp,tightened terminals on rtd and reseated rtd card.,Orifice
23295-n : kpot-70956769;(-)moldback temp,replaced moldback drain rtd,Temperature Sensor
23197-n : kpot-34148202;(+)extraction,no call - operator restarted,POST / STUD
"m04 membrane not going to precon, cover would not load","press is running, and no one called it in to notify that were having issues . prr may have gotten it?",Washer
d7 pipe blow out,replaced fitting,Orifice
jib not raising,"prr had hydraulics off, because of a blow out down stairs",Shut Off Valve
membrane or lid won't lower,dim change press . turned the air back on for the hydraulic cabinet,Pressure switch
lid won't lower and sectors not closing,dim change press . 100 bar valve off . turned it back on.,Shut Off Valve
23197-d : kpot-64557491;(-)membrane psi,found an air leak in the tableau . replaced the solenoid (old black one with the small orifice) and ran a couple bypasses before restarting the press,Gasket / Seal / Packing
no jib movement,worker fixed it before got there,Terminal block
bad leak up top,"replaced lid lower pipe, and lid raise hose",Pipe / Rigid Tubing
23197-d : kpot-27476118;(+)extraction,thrust worker lines were across hooks . preventing limit switches from being made,Proximity Sensor / Switch
jib  not going low enough to extract tire,adjusted jib height,Limit Switch / Sensor
jib not going low enough to extract tire,adjusted jib height,Limit Switch / Sensor
23197-d : kpot-18179469;(+)extraction,d5 solenoid was leaking straight out of exhaust . replaced it.,Solenoid / Coil
kpot light not coming on,repaired by previous crew,LAMP
lid no close,fixed on previous crew,Sensor
m08 after cured covers the sectors are raising up on its own and not closing back causing 44.1's,diaphragm had blown,Diaphragm
23197-d : kpot-18179666;(+)extraction,pickup height was off,Safety Gate Interlock
23198-n : kpot-21046591;(+)loading,water got in the safety relay for the door,Safety Relay
23198-n : kpot-10572194;(+)extraction,replaced ps7 and blew line out.,Pressure switch
23198-n : kpot-29121512;(+)removed from auto,operator reinitialized,Push Button
23198-n : kpot-58047805;(+)loading,adjusted ls12,Limit Switch / Sensor
23198-n : kpot-29121556;(+)extraction,d19 diaphragm had blown,Diaphragm
23198-n : kpot-46110336;(+)loading,missed ls10,Limit Switch / Sensor
23198-n : kpot-27475606;(+)removed from auto,jib fingers open prox was unplugged,Limit Switch / Sensor
not coming off rh,transducer line pugged . cleared and opened the press up . turned over to operator,Pressure switch
79.1 checklist,information left off checklist . took about 10 minutes to find quality to see what worker actually needed to check and get a stopwatch . checked the press and it timed within consign and everything else checked out . turned back over to the operator,Screw
46.1 checklist,done . nothing of note found,Washer
not loading / memb not inflating,no issues found.,Process/CQ-Related
23198-d : kpot-36122591;(+)removed from auto,membrane not draining right again . replaced the membrane hose.,Flexible Tubing / Hose
lid speed too slow,no pager call . lid was hesitating to go up sometimes . drilled a new orifice and replaced d1 valve . timed good.,Orifice
memb not deflating,cleaned out transducers,Pressure Gauge / Gauge
press has uniformity checklist,did checklist . jib bouncing a little rotating in and out of the press . slowed down.,Screw
23198-d : kpot-36103799;(+)membrane temp,"ran bypass, looked like press struggled to bring temp down . replaced v22 ran another bypass, and looked much better . put press on re-heat",Directional Valve
23198-d : kpot-41832353;(+)extraction,ps7 clogged,Pressure switch
wont go to precon height to load cover,operator just had to raise the membrane,Magnet
jib wont raise,d15 diaphragm burst,Diaphragm
hyd leak in celing,replaced lid hose,Pipe reducer
23199-n : kpot-88510681;(+)removed from auto,lid hook pin,Pin / Clip
23199-n : kpot-03102337;(+)loading,jib did not swing out of press . tire stuck in top shell . removed cover that was loaded and then removed stuck tire . left press down to have sectors sprayed,Process/CQ-Related
ps7 leaking steam,repaired leak on ps7 and v21,Relief Valve
23199-d : kpot-36104250;(+)extraction,replaced safety relay,Safety Gate Interlock
d5 dia leaking,replaced dia,Tube
cbo speed slow 51 cmin,put in correct orifice . put press on reheat after timing speed,Orifice
both lid and cbo fast,changed orifices,Orifice
lid fast 63 cmin,replaced d1 orifice,Orifice
speed change,replaced orfice,Process/CQ-Related
lid won't go all the way up,could not duplicate problem-raised and lowered multiple times and watched it raise and load a cover in auto,POST / STUD
23199-d : kpot-58045053;(+)extraction,air line leaking in sol cap . replaced airline and removed kpot tire from press . reloaded press and restarted,Flexible Tubing / Hose
23200-n : kpot-05935043;(-)membrane psi,replaced membrane.,Membrane
23200-d : kpot-52655149;(+)extraction,replaced d5 diaphragm.,Diaphragm
cq 35.2 checklist started,lid cylinder is leaking into press,Hydraulic Cylinder / Jack
